song_title,song_artist,song_genre,movie_title,movie_director,movie_genre,movie_year,movie_plot
Javeda Zindag,Kshitij Tarey,"sufi, marathi pop, bollywood, qawwali",Dad,Gary David Goldberg,"Comedy, Drama",1989,"John, a busy, ""always-on-the-run"" executive, learns during a meeting that his mother may be dying and rushes home to her side. He ends up being his father's caretaker and becomes closer to him than ever before. In the process, he teaches his father to be more independent which causes problems with the man's wife. Estranged from his own son, the executive comes to realize what has been missing in his own life. As John, his father and his son slowly bond, and even his mother returns from the hospital, everything starts seeming right with the world - until dad goes to have a minor surgery only to come out of it demented and a shadow of his former self."
Tic Tac Toe (with Ken Carson),Lil Tecca,"melodic rap, rap",Sink or Swim,Gilles Lellouche,"Comedy, Drama, Sport",2018,"It is in the corridors of their municipal swimming pool that Bertrand, Marcus, Simon, Laurent, Thierry and the others train under the relative authority of Delphine, former glory of the basins. Together, they feel free and helpful. They will put all their energy into a discipline previously owned by women: synchronized swimming. So, yes it's a weird idea, but this challenge will allow them to find meaning in their lives..."
Havoc,Rich Amiri,rage rap,The Goldfinch,John Crowley,"Crime, Drama, Mystery",2019,"13-year-old New Yorker Theo Decker's life is turned upside-down when his mother is killed in a terrorist attack at the Metropolitan Museum of Art. Confused in the rubble of the tragedy, he steals a priceless piece of art known as The Goldfinch."
Hotel Room,FLVCKKA,neoperreo,María (y los demás),Nely Reguera,"Comedy, Drama",2016,"Ever since her mum died, María has taken care of her father and her siblings. That's why her father's announcement of marriage to his nurse brings María's world crashing down around her. At the age of 35, she'll have to change her fate."
COLD,Nemzzz,"uk drill, drill",The Squid and the Whale,Noah Baumbach,"Comedy, Drama",2005,"In 1986, In Brooklyn, New York, the dysfunctional family of pseudo intellectuals composed by the university professor Bernard and the prominent writer Joan split. Bernard is a selfish, cheap and jealous decadent writer that rationalizes every attitude in his family and life and does not accept ""philistines"" - people that do not read books or watch movies, while the unfaithful Joan is growing as a writer and has no problems with ""philistines"". Their sons, the teenager Walt and the boy Frank, feel the separation and take side: Walt stays with Bernard, and Frank with Joan, and both are affected with abnormal behaviors. Frank drinks booze and smears with sperm the books in the library and a locker in the dress room of his school. The messed-up and insecure Walt uses Roger Water's song ""Hey You"" in a festival as if it was of his own, and breaks up with his girlfriend Sophie. Meanwhile Joan has an affair with Frank's tennis teacher Ivan and Bernard with his student Lili."
4 Raws,EsDeeKid,,I'm Your Man,Maria Schrader,"Comedy, Drama, Romance",2021,"In order to obtain research funds for her studies, a scientist accepts an offer to participate in an extraordinary experiment: for three weeks, she is to live with a humanoid robot, created to make her happy."
yes,Ken Carson,rage rap,Unpregnant,Rachel Lee Goldenberg,"Comedy, Drama",2020,"A 17-year old Missouri teen named Veronica discovers she has gotten pregnant, a development that threatens to end her dreams of matriculating at an Ivy League college, and the career that will follow."
cod of cape,Jazzy Coffee,jazz,Plan 75,Chie Hayakawa,"Drama, Sci-Fi",2022,"Faced with a rapidly aging population, a Japanese government in the near future rolls out an unsettling agenda."
Autumn In New York,Mayfare Trio,jazz,My Girl,Howard Zieff,"Comedy, Drama, Family",1991,"1972. Vada Sultenfuss (played by Anna Chlumsky) is an intelligent, bubbly, hypochondriacal 11-year old girl. Her father, Harry (Dan Aykroyd), is a mortician and a widower. Her best friend is Thomas J Sennett (Macaulay Culkin). Then her father hires a new receptionist, Shelly (Jamie Lee Curtis), and life will never be the same again."
Autumn In New York,Mayfare Trio,jazz,My Girl,Howard Zieff,"Comedy, Drama, Family",1991,"1972. Vada Sultenfuss (played by Anna Chlumsky) is an intelligent, bubbly, hypochondriacal 11-year old girl. Her father, Harry (Dan Aykroyd), is a mortician and a widower. Her best friend is Thomas J Sennett (Macaulay Culkin). Then her father hires a new receptionist, Shelly (Jamie Lee Curtis), and life will never be the same again."
